referencia,descripcion,op,cantidad,detalles
200066,PIJAMA DE SHORT CORTA     BLUSA DE TIRAS EN COMBINACION    S,12,504,"[[""022"",""AZULTURQUI"",""200066"",""S"",63,""9990001005566""],[""022"",""AZULTURQUI"",""200066"",""M"",42,""9990001005559""],[""022"",""AZULTURQUI"",""200066"",""L"",42,""9990001005542""],[""022"",""AZULTURQUI"",""200066"",""XL"",21,""9990001005573""],[""026"",""BLANCO"",""200066"",""S"",63,""9990001005603""],[""026"",""BLANCO"",""200066"",""M"",42,""9990001005597""],[""026"",""BLANCO"",""200066"",""L"",42,""9990001005580""],[""026"",""BLANCO"",""200066"",""XL"",21,""9990001005610""],[""103"",""OFF WHITE"",""200066"",""S"",63,""9990001005764""],[""103"",""OFF WHITE"",""200066"",""M"",42,""9990001005757""],[""103"",""OFF WHITE"",""200066"",""L"",42,""9990001005740""],[""103"",""OFF WHITE"",""200066"",""XL"",21,""9990001005771""]]"
200066,PIJAMA DE SHORT CORTA     BLUSA DE TIRAS EN COMBINACION    S,13,504,"[[""026"",""BLANCO"",""200066"",""S"",63,""9990001005603""],[""026"",""BLANCO"",""200066"",""M"",42,""9990001005597""],[""026"",""BLANCO"",""200066"",""L"",42,""9990001005580""],[""026"",""BLANCO"",""200066"",""XL"",21,""9990001005610""],[""126"",""ROSADO"",""200066"",""S"",63,""9990001005801""],[""126"",""ROSADO"",""200066"",""M"",42,""9990001005795""],[""126"",""ROSADO"",""200066"",""L"",42,""9990001005788""],[""126"",""ROSADO"",""200066"",""XL"",21,""9990001005818""],[""169"",""BLANCO # 2"",""200066"",""S"",63,""9990001005849""],[""169"",""BLANCO # 2"",""200066"",""M"",42,""9990001005832""],[""169"",""BLANCO # 2"",""200066"",""L"",42,""9990001005825""],[""169"",""BLANCO # 2"",""200066"",""XL"",21,""9990001005856""]]"
200066,PIJAMA DE SHORT CORTA     BLUSA DE TIRAS EN COMBINACION    S,14,504,"[[""022"",""AZULTURQUI"",""200066"",""S"",63,""9990001005566""],[""022"",""AZULTURQUI"",""200066"",""M"",42,""9990001005559""],[""022"",""AZULTURQUI"",""200066"",""L"",42,""9990001005542""],[""022"",""AZULTURQUI"",""200066"",""XL"",21,""9990001005573""],[""026"",""BLANCO"",""200066"",""S"",63,""9990001005603""],[""026"",""BLANCO"",""200066"",""M"",42,""9990001005597""],[""026"",""BLANCO"",""200066"",""L"",42,""9990001005580""],[""026"",""BLANCO"",""200066"",""XL"",21,""9990001005610""],[""169"",""BLANCO # 2"",""200066"",""S"",63,""9990001005849""],[""169"",""BLANCO # 2"",""200066"",""M"",42,""9990001005832""],[""169"",""BLANCO # 2"",""200066"",""L"",42,""9990001005825""],[""169"",""BLANCO # 2"",""200066"",""XL"",21,""9990001005856""]]"
IC0083,BLUSA  MANGA CORTA CUELLO REDONDO,15,700,"[[""016"",""AZUL HORTENSIA"",""IC0083"",""S"",28,""9990001044121""],[""016"",""AZUL HORTENSIA"",""IC0083"",""M"",42,""9990001044138""],[""016"",""AZUL HORTENSIA"",""IC0083"",""L"",42,""9990001044145""],[""016"",""AZUL HORTENSIA"",""IC0083"",""XL"",28,""9990001044152""],[""024"",""BEIGE"",""IC0083"",""S"",28,""9990001031244""],[""024"",""BEIGE"",""IC0083"",""M"",42,""9990001031251""],[""024"",""BEIGE"",""IC0083"",""L"",42,""9990001031268""],[""024"",""BEIGE"",""IC0083"",""XL"",28,""9990001031275""],[""026"",""BLANCO"",""IC0083"",""S"",56,""9990001016821""],[""026"",""BLANCO"",""IC0083"",""M"",84,""9990001016838""],[""026"",""BLANCO"",""IC0083"",""L"",84,""9990001016845""],[""026"",""BLANCO"",""IC0083"",""XL"",56,""9990001016852""],[""072"",""KAKY"",""IC0083"",""S"",28,""9990001016906""],[""072"",""KAKY"",""IC0083"",""M"",42,""9990001016913""],[""072"",""KAKY"",""IC0083"",""L"",42,""9990001016920""],[""072"",""KAKY"",""IC0083"",""XL"",28,""9990001016937""]]"
IC0083,BLUSA  MANGA CORTA CUELLO REDONDO,16,700,"[[""024"",""BEIGE"",""IC0083"",""S"",28,""9990001031244""],[""024"",""BEIGE"",""IC0083"",""M"",42,""9990001031251""],[""024"",""BEIGE"",""IC0083"",""L"",42,""9990001031268""],[""024"",""BEIGE"",""IC0083"",""XL"",28,""9990001031275""],[""026"",""BLANCO"",""IC0083"",""S"",28,""9990001016821""],[""026"",""BLANCO"",""IC0083"",""M"",42,""9990001016838""],[""026"",""BLANCO"",""IC0083"",""L"",42,""9990001016845""],[""026"",""BLANCO"",""IC0083"",""XL"",28,""9990001016852""],[""072"",""KAKY"",""IC0083"",""S"",28,""9990001016906""],[""072"",""KAKY"",""IC0083"",""M"",42,""9990001016913""],[""072"",""KAKY"",""IC0083"",""L"",42,""9990001016920""],[""072"",""KAKY"",""IC0083"",""XL"",28,""9990001016937""],[""090"",""NEGRO"",""IC0083"",""S"",28,""9990001016944""],[""090"",""NEGRO"",""IC0083"",""M"",42,""9990001016951""],[""090"",""NEGRO"",""IC0083"",""L"",42,""9990001016968""],[""090"",""NEGRO"",""IC0083"",""XL"",28,""9990001016975""],[""126"",""ROSADO"",""IC0083"",""S"",28,""9990001081010""],[""126"",""ROSADO"",""IC0083"",""M"",42,""9990001081027""],[""126"",""ROSADO"",""IC0083"",""L"",42,""9990001081034""],[""126"",""ROSADO"",""IC0083"",""XL"",28,""9990001081041""]]"
IC0083,BLUSA  MANGA CORTA CUELLO REDONDO,17,700,"[[""024"",""BEIGE"",""IC0083"",""S"",28,""9990001031244""],[""024"",""BEIGE"",""IC0083"",""M"",42,""9990001031251""],[""024"",""BEIGE"",""IC0083"",""L"",42,""9990001031268""],[""024"",""BEIGE"",""IC0083"",""XL"",28,""9990001031275""],[""026"",""BLANCO"",""IC0083"",""S"",28,""9990001016821""],[""026"",""BLANCO"",""IC0083"",""M"",42,""9990001016838""],[""026"",""BLANCO"",""IC0083"",""L"",42,""9990001016845""],[""026"",""BLANCO"",""IC0083"",""XL"",28,""9990001016852""],[""035"",""CAFÉ"",""IC0083"",""S"",28,""9990001059996""],[""035"",""CAFÉ"",""IC0083"",""M"",42,""9990001060008""],[""035"",""CAFÉ"",""IC0083"",""L"",42,""9990001060015""],[""035"",""CAFÉ"",""IC0083"",""XL"",28,""9990001060022""],[""072"",""KAKY"",""IC0083"",""S"",28,""9990001016906""],[""072"",""KAKY"",""IC0083"",""M"",42,""9990001016913""],[""072"",""KAKY"",""IC0083"",""L"",42,""9990001016920""],[""072"",""KAKY"",""IC0083"",""XL"",28,""9990001016937""],[""090"",""NEGRO"",""IC0083"",""S"",28,""9990001016944""],[""090"",""NEGRO"",""IC0083"",""M"",42,""9990001016951""],[""090"",""NEGRO"",""IC0083"",""L"",42,""9990001016968""],[""090"",""NEGRO"",""IC0083"",""XL"",28,""9990001016975""]]"
DD0001,DUO PANTALONETA DE HOMBRE CORTA    VIVO EN EL COSTADO    TEJ,21,840,"[[""019"",""AZUL OSCURO"",""DD0001"",""S"",74,""9990001001810""],[""019"",""AZUL OSCURO"",""DD0001"",""M"",111,""9990001001827""],[""019"",""AZUL OSCURO"",""DD0001"",""L"",74,""9990001001834""],[""019"",""AZUL OSCURO"",""DD0001"",""XL"",111,""9990001001841""],[""067"",""GRIS OSCURO"",""DD0001"",""S"",20,""9990001001896""],[""067"",""GRIS OSCURO"",""DD0001"",""M"",30,""9990001001902""],[""067"",""GRIS OSCURO"",""DD0001"",""L"",20,""9990001001919""],[""067"",""GRIS OSCURO"",""DD0001"",""XL"",30,""9990001001926""],[""090"",""NEGRO"",""DD0001"",""S"",74,""9990001001773""],[""090"",""NEGRO"",""DD0001"",""M"",111,""9990001001780""],[""090"",""NEGRO"",""DD0001"",""L"",74,""9990001001797""],[""090"",""NEGRO"",""DD0001"",""XL"",111,""9990001001803""]]"
DD0001,DUO PANTALONETA DE HOMBRE CORTA    VIVO EN EL COSTADO    TEJ,23,740,"[[""019"",""AZUL OSCURO"",""DD0001"",""S"",74,""9990001001810""],[""019"",""AZUL OSCURO"",""DD0001"",""M"",111,""9990001001827""],[""019"",""AZUL OSCURO"",""DD0001"",""L"",74,""9990001001834""],[""019"",""AZUL OSCURO"",""DD0001"",""XL"",111,""9990001001841""],[""090"",""NEGRO"",""DD0001"",""S"",74,""9990001001773""],[""090"",""NEGRO"",""DD0001"",""M"",111,""9990001001780""],[""090"",""NEGRO"",""DD0001"",""L"",74,""9990001001797""],[""090"",""NEGRO"",""DD0001"",""XL"",111,""9990001001803""]]"
DD0001,DUO PANTALONETA DE HOMBRE CORTA    VIVO EN EL COSTADO    TEJ,24,740,"[[""019"",""AZUL OSCURO"",""DD0001"",""S"",74,""9990001001810""],[""019"",""AZUL OSCURO"",""DD0001"",""M"",111,""9990001001827""],[""019"",""AZUL OSCURO"",""DD0001"",""L"",74,""9990001001834""],[""019"",""AZUL OSCURO"",""DD0001"",""XL"",111,""9990001001841""],[""090"",""NEGRO"",""DD0001"",""S"",74,""9990001001773""],[""090"",""NEGRO"",""DD0001"",""M"",111,""9990001001780""],[""090"",""NEGRO"",""DD0001"",""L"",74,""9990001001797""],[""090"",""NEGRO"",""DD0001"",""XL"",111,""9990001001803""]]"
IC0083,BLUSA  MANGA CORTA CUELLO REDONDO,25,730,"[[""026"",""BLANCO"",""IC0083"",""S"",56,""9990001016821""],[""026"",""BLANCO"",""IC0083"",""M"",84,""9990001016838""],[""026"",""BLANCO"",""IC0083"",""L"",84,""9990001016845""],[""026"",""BLANCO"",""IC0083"",""XL"",56,""9990001016852""],[""035"",""CAFÉ"",""IC0083"",""S"",20,""9990001059996""],[""035"",""CAFÉ"",""IC0083"",""M"",30,""9990001060008""],[""035"",""CAFÉ"",""IC0083"",""L"",30,""9990001060015""],[""035"",""CAFÉ"",""IC0083"",""XL"",20,""9990001060022""],[""072"",""KAKY"",""IC0083"",""S"",14,""9990001016906""],[""072"",""KAKY"",""IC0083"",""M"",21,""9990001016913""],[""072"",""KAKY"",""IC0083"",""L"",21,""9990001016920""],[""072"",""KAKY"",""IC0083"",""XL"",14,""9990001016937""],[""090"",""NEGRO"",""IC0083"",""S"",28,""9990001016944""],[""090"",""NEGRO"",""IC0083"",""M"",42,""9990001016951""],[""090"",""NEGRO"",""IC0083"",""L"",42,""9990001016968""],[""090"",""NEGRO"",""IC0083"",""XL"",28,""9990001016975""],[""126"",""ROSADO"",""IC0083"",""S"",28,""9990001081010""],[""126"",""ROSADO"",""IC0083"",""M"",42,""9990001081027""],[""126"",""ROSADO"",""IC0083"",""L"",42,""9990001081034""],[""126"",""ROSADO"",""IC0083"",""XL"",28,""9990001081041""]]"
